aurora: 80 hidden tasks, 100 samples each
/PHShome/ik832/.local/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:189: UserWarning: The `resume_download` argument is deprecated and ignored in `hf_hub_download`. Downloads always resume whenever possible.
  warnings.warn(
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
✅ Loaded static config from package: /home/ik832/.local/lib/python3.10/site-packages/aurora/config.json
✅ Downloaded model weights from HF Hub: /raid/home/air/khoutaibi/hf_cache/hub/models--DecisionIntelligence--Aurora/snapshots/c495b02c1b151be52a3c174237ed240aa66e6384/model.safetensors
✅ Loaded weights from .safetensors file successfully!
✅ Loaded weights into the model successfully!
✅ Model loaded successfully on device: cuda:2
14:11:56 [39/80] task_39 H=46 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:56 [40/80] task_40 H=110 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:56 [41/80] task_41 H=46 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:56 [42/80] task_241 H=146 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:56 [43/80] task_242 H=659 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:56 [44/80] task_243 H=2797 paths=100/100 (0.4s, elapsed 0.3m, eta 0m)
14:11:57 [45/80] task_244 H=2798 paths=100/100 (0.3s, elapsed 0.3m, eta 0m)
14:11:57 [46/80] task_245 H=1510 paths=100/100 (0.2s, elapsed 0.3m, eta 0m)
14:11:57 [47/80] task_246 H=852 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:57 [48/80] task_247 H=853 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:57 [49/80] task_248 H=1511 paths=100/100 (0.2s, elapsed 0.3m, eta 0m)
14:11:57 [50/80] task_249 H=2798 paths=100/100 (0.3s, elapsed 0.3m, eta 0m)
14:11:58 [51/80] task_250 H=1510 paths=100/100 (0.2s, elapsed 0.3m, eta 0m)
14:11:58 [52/80] task_251 H=63 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:58 [53/80] task_252 H=63 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:58 [54/80] task_253 H=63 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:58 [55/80] task_254 H=63 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:58 [56/80] task_255 H=63 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:58 [57/80] task_256 H=19 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:58 [58/80] task_257 H=19 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:58 [59/80] task_258 H=16 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:58 [60/80] task_259 H=15 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:58 [61/80] task_260 H=15 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:58 [62/80] task_261 H=70 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:58 [63/80] task_262 H=69 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:58 [64/80] task_263 H=64 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:58 [65/80] task_264 H=83 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:58 [66/80] task_265 H=83 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:58 [67/80] task_266 H=61 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:59 [68/80] task_267 H=61 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:59 [69/80] task_268 H=22 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:59 [70/80] task_269 H=22 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:59 [71/80] task_270 H=27 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:59 [72/80] task_271 H=22 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:59 [73/80] task_272 H=64 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:59 [74/80] task_273 H=170 paths=100/100 (0.1s, elapsed 0.3m, eta 0m)
14:11:59 [75/80] task_274 H=27 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:59 [76/80] task_275 H=22 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:59 [77/80] task_276 H=21 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:59 [78/80] task_277 H=27 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:59 [79/80] task_278 H=27 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
14:11:59 [80/80] task_279 H=26 paths=100/100 (0.0s, elapsed 0.3m, eta 0m)
wrote 80 forecasts to runs/baselines/aurora_hidden.jsonl
