seasonal_naive: 80 hidden tasks, 100 samples each
14:11:20 [62/80] task_261 H=70 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [63/80] task_262 H=69 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [64/80] task_263 H=64 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [65/80] task_264 H=83 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [66/80] task_265 H=83 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [67/80] task_266 H=61 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [68/80] task_267 H=61 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [69/80] task_268 H=22 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [70/80] task_269 H=22 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [71/80] task_270 H=27 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [72/80] task_271 H=22 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [73/80] task_272 H=64 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [74/80] task_273 H=170 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [75/80] task_274 H=27 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [76/80] task_275 H=22 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [77/80] task_276 H=21 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [78/80] task_277 H=27 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [79/80] task_278 H=27 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
14:11:20 [80/80] task_279 H=26 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
wrote 67 forecasts to runs/baselines/seasonal_naive_hidden.jsonl

| baseline | sMAE | sRMSE | coverage | scored |
|---|---|---|---|---|
| seasonal_naive | - | - | 0.000 | 0/13 |
failure: ValueError: no sample trajectories to average
